TimeID,Date,Day,Month,Quarter,Year,IsWeekend
121,2019-05-01,1,5,2,2019,FALSE
122,2019-05-02,2,5,2,2019,FALSE
123,2019-05-03,3,5,2,2019,FALSE
124,2019-05-04,4,5,2,2019,TRUE
125,2019-05-05,5,5,2,2019,TRUE
126,2019-05-06,6,5,2,2019,FALSE
127,2019-05-07,7,5,2,2019,FALSE
128,2019-05-08,8,5,2,2019,FALSE
129,2019-05-09,9,5,2,2019,FALSE
130,2019-05-10,10,5,2,2019,FALSE
131,2019-05-11,11,5,2,2019,TRUE
132,2019-05-12,12,5,2,2019,TRUE
133,2019-05-13,13,5,2,2019,FALSE
134,2019-05-14,14,5,2,2019,FALSE
135,2019-05-15,15,5,2,2019,FALSE
136,2019-05-16,16,5,2,2019,FALSE
137,2019-05-17,17,5,2,2019,FALSE
138,2019-05-18,18,5,2,2019,TRUE
139,2019-05-19,19,5,2,2019,TRUE
140,2019-05-20,20,5,2,2019,FALSE
141,2019-05-21,21,5,2,2019,FALSE
142,2019-05-22,22,5,2,2019,FALSE
143,2019-05-23,23,5,2,2019,FALSE
144,2019-05-24,24,5,2,2019,FALSE
145,2019-05-25,25,5,2,2019,TRUE
146,2019-05-26,26,5,2,2019,TRUE
147,2019-05-27,27,5,2,2019,FALSE
148,2019-05-28,28,5,2,2019,FALSE
149,2019-05-29,29,5,2,2019,FALSE
150,2019-05-30,30,5,2,2019,FALSE
151,2019-05-31,31,5,2,2019,FALSE
152,2019-06-01,1,6,2,2019,TRUE
153,2019-06-02,2,6,2,2019,TRUE
154,2019-06-03,3,6,2,2019,FALSE
155,2019-06-04,4,6,2,2019,FALSE
156,2019-06-05,5,6,2,2019,FALSE
157,2019-06-06,6,6,2,2019,FALSE
158,2019-06-07,7,6,2,2019,FALSE
159,2019-06-08,8,6,2,2019,TRUE
160,2019-06-09,9,6,2,2019,TRUE
161,2019-06-10,10,6,2,2019,FALSE
162,2019-06-11,11,6,2,2019,FALSE
163,2019-06-12,12,6,2,2019,FALSE
164,2019-06-13,13,6,2,2019,FALSE
165,2019-06-14,14,6,2,2019,FALSE
166,2019-06-15,15,6,2,2019,TRUE
167,2019-06-16,16,6,2,2019,TRUE
168,2019-06-17,17,6,2,2019,FALSE
169,2019-06-18,18,6,2,2019,FALSE
170,2019-06-19,19,6,2,2019,FALSE
